É”,deep,void ratio,water content,X,Y,UU,CU,CUBar,CD
0,50.5,55.3,1.463,77.65274811,-9.2609272,1,0,0,0
0,81.1,61.6,1.612,77.65274811,-9.2609272,1,0,0,0
0,85.5,35.3,0.94,77.65274811,-9.2609272,1,0,0,0
0,88.5,48,1.265,77.65274811,-9.2609272,1,0,0,0
0,5.85,60.1,1.553,77.65274811,-9.2609272,1,0,0,0
31.2,8,25.9,0.756,-122.4698563,-114.9771347,0,0,0,1
0,10.45,49.6,1.347,30.23841476,-162.0327454,1,0,0,0
0,23.45,40.9,0.868,77.65274811,-9.2609272,1,0,0,0
43.3,3.6,15.8,0.456,-122.4698563,-114.9771347,0,0,0,1
41.3,9.425,24.5,0.808,-122.4698563,-114.9771347,0,0,0,1
28.8,7.55,27.9,0.832,-122.4698563,-114.9771347,0,0,0,1
2.5,33.25,39.6,1.062,77.65274811,-9.2609272,1,0,0,0
1.9,41.305,73.5,1.955,77.65274811,-9.2609272,1,0,0,0
0,4.575,40.6,1.112,-122.4698563,-114.9771347,1,0,0,0
32.6,10.3,42,1.183,77.65274811,-9.2609272,0,0,0,1
2.5,33.355,38.2,1.023,77.65274811,-9.2609272,1,0,0,0
2.2,41.34,76,2.022,77.65274811,-9.2609272,1,0,0,0
38.9,5.15,11.1,0.459,-75.6231308,38.1353569,0,0,0,1
42.4,7.425,18.4,0.758,-122.4698563,-114.9771347,0,0,0,1
3.15,16.975,44,1.17,77.65274811,-9.2609272,1,0,0,0
2.09,18.575,47.8,1.269,77.65274811,-9.2609272,1,0,0,0
1.71,20.575,54.8,1.452,77.65274811,-9.2609272,1,0,0,0
0.45,22.55,59.9,1.582,77.65274811,-9.2609272,1,0,0,0
1.71,24.55,60.6,1.599,77.65274811,-9.2609272,1,0,0,0
4.75,26.55,62.9,1.659,77.65274811,-9.2609272,1,0,0,0
0.69,28.575,56.1,1.491,77.65274811,-9.2609272,1,0,0,0
1.68,30.575,31.4,0.87,77.65274811,-9.2609272,1,0,0,0
1.81,32.575,46.4,1.254,77.65274811,-9.2609272,1,0,0,0
3.2,34.55,46.2,1.253,77.65274811,-9.2609272,1,0,0,0
3.53,36.525,42.7,1.155,77.65274811,-9.2609272,1,0,0,0
34,1.025,10.8,0.426,-122.4698563,-114.9771347,0,0,0,1
0,5.2,89.3,2.792,77.65274811,-9.2609272,1,0,0,0
36.5,7.1,22.5,0.612,-122.4698563,-114.9771347,0,0,0,1
36.7,9.3,36.6,1.186,-122.4698563,-114.9771347,0,0,0,1
0,10.55,49.1,1.327,30.23841476,-162.0327454,1,0,0,0
12.5,11.4,54.3,1.5,77.65274811,-9.2609272,0,0,1,0
10.8,16.4,68.3,1.834,77.65274811,-9.2609272,0,0,1,0
11.4,21.4,67.1,1.818,77.65274811,-9.2609272,0,0,1,0
0,15.06,56.4,1.534,77.65274811,-9.2609272,1,0,0,0
36.1,24.5,25,0.716,-122.4698563,-114.9771347,0,0,0,1
0,7.925,53.7,1.44,77.65274811,-9.2609272,1,0,0,0
0,14.425,78.3,2.078,77.65274811,-9.2609272,1,0,0,0
0,20.375,36.1,0.991,77.65274811,-9.2609272,1,0,0,0
0,28.35,41.5,1.114,77.65274811,-9.2609272,1,0,0,0
0,35.325,75.9,2.029,77.65274811,-9.2609272,1,0,0,0
0,39.9,41.7,1.145,77.65274811,-9.2609272,1,0,0,0
0,43.3,33.7,0.937,77.65274811,-9.2609272,1,0,0,0
0,58.7,38.8,1.04,77.65274811,-9.2609272,1,0,0,0
0,64.7,51,1.373,77.65274811,-9.2609272,1,0,0,0
0,66.4,59.3,1.622,77.65274811,-9.2609272,1,0,0,0
8.75,16.35,71.8,1.852,77.65274811,-9.2609272,1,0,0,0
37.1,0.9,9.5,0.782,-122.4698563,-114.9771347,0,0,0,1
37.8,9.5,33.9,1.121,-122.4698563,-114.9771347,0,0,0,1
42.4,25.6,11.9,0.417,-75.6231308,38.1353569,0,0,0,1
0,8.4,70.3,1.877,77.65274811,-9.2609272,1,0,0,0
0,13.4,75.3,2.017,77.65274811,-9.2609272,1,0,0,0
0,28.925,32.7,0.885,77.65274811,-9.2609272,1,0,0,0
0,35.35,77.5,2.049,77.65274811,-9.2609272,1,0,0,0
0,39.4,43.9,1.193,77.65274811,-9.2609272,1,0,0,0
0,43.35,33,0.895,77.65274811,-9.2609272,1,0,0,0
0,58.8,30.9,0.839,77.65274811,-9.2609272,1,0,0,0
0,64.4,59.1,1.582,77.65274811,-9.2609272,1,0,0,0
0,66.35,60.4,1.622,77.65274811,-9.2609272,1,0,0,0
0,68.3,38.4,1.045,77.65274811,-9.2609272,1,0,0,0
2.05,14.65,42.6,1.233,77.65274811,-9.2609272,1,0,0,0
1.12,15.65,34.9,1.026,30.23841476,-162.0327454,1,0,0,0
1,16.65,34.2,0.943,30.23841476,-162.0327454,1,0,0,0
10,17.55,37.7,1.037,77.65274811,-9.2609272,1,0,0,0
1.02,15.5,34.2,1.017,77.65274811,-9.2609272,1,0,0,0
1.02,16.5,34.6,0.996,30.23841476,-162.0327454,1,0,0,0
0.95,17.5,33.7,0.967,77.65274811,-9.2609272,1,0,0,0
8.08,18.325,26.4,0.872,77.65274811,-9.2609272,1,0,0,0
0,8.41,56.3,1.498,77.65274811,-9.2609272,1,0,0,0
0,14.425,76.9,2.045,77.65274811,-9.2609272,1,0,0,0
0,20.415,41.7,1.126,77.65274811,-9.2609272,1,0,0,0
0,28.95,39,1.035,77.65274811,-9.2609272,1,0,0,0
0,35.8,77,2.044,77.65274811,-9.2609272,1,0,0,0
0,39.375,43.4,1.182,77.65274811,-9.2609272,1,0,0,0
0,43.275,35.8,0.977,77.65274811,-9.2609272,1,0,0,0
0,57.4,35.4,0.931,77.65274811,-9.2609272,1,0,0,0
0,64.35,47,1.271,77.65274811,-9.2609272,1,0,0,0
0,66.4,59.3,1.593,77.65274811,-9.2609272,1,0,0,0
41.6,8.3,27.2,0.849,-122.4698563,-114.9771347,0,0,0,1
5.5,17.4,71.1,1.788,77.65274811,-9.2609272,1,0,0,0
35,1,9.8,0.779,-122.4698563,-114.9771347,0,0,0,1
40.3,8,18,0.791,-122.4698563,-114.9771347,0,0,0,1
35.6,24.5,19.5,0.725,-122.4698563,-114.9771347,0,0,0,1
12.7,12.35,52.5,1.421,77.65274811,-9.2609272,0,0,1,0
10,17.62,71.1,1.894,77.65274811,-9.2609272,0,0,1,0
8.9,22.3,64.2,1.761,77.65274811,-9.2609272,0,0,1,0
0,16.9,60.1,1.62,77.65274811,-9.2609272,1,0,0,0
3.2,8.2,62,1.658,77.65274811,-9.2609272,1,0,0,0
5.5,18.4,66,1.719,77.65274811,-9.2609272,1,0,0,0
35.2,7.4,20.6,0.742,-122.4698563,-114.9771347,0,0,0,1
34.7,8.25,39,1.109,-122.4698563,-114.9771347,0,0,0,1
33.8,5.35,26.4,0.858,-122.4698563,-114.9771347,0,0,0,1
34.9,9,33.8,1.002,-122.4698563,-114.9771347,0,0,0,1
3.5,18.4,49.1,1.31,77.65274811,-9.2609272,1,0,0,0
39,6.35,19.6,0.672,-122.4698563,-114.9771347,0,0,0,1
35.7,7.3,22.1,0.661,-122.4698563,-114.9771347,0,0,0,1
38.9,6.4,36.6,1.02,-122.4698563,-114.9771347,0,0,0,1
35.7,1.075,8.7,0.571,-122.4698563,-114.9771347,0,0,0,1
40.1,7.475,22.8,0.8,-122.4698563,-114.9771347,0,0,0,1
2.5,14.35,67.7,1.808,77.65274811,-9.2609272,1,0,0,0
0,34.27,25,0.688,77.65274811,-9.2609272,1,0,0,0
0,39.4,76.9,2.071,77.65274811,-9.2609272,1,0,0,0
0,41.425,76.3,1.938,77.65274811,-9.2609272,1,0,0,0
36.2,1.1,9.4,0.639,-122.4698563,-114.9771347,0,0,0,1
35.5,7.475,26.7,0.885,-122.4698563,-114.9771347,0,0,0,1
0,33,79.9,2.138,77.65274811,-9.2609272,1,0,0,0
2.8,10.4,71.5,1.921,77.65274811,-9.2609272,1,0,0,0
41,8.15,29.3,0.848,-122.4698563,-114.9771347,0,0,0,1
33.5,9.775,38.9,1.126,30.23841476,-162.0327454,0,0,0,1
38.1,6.35,35.7,1.055,-122.4698563,-114.9771347,0,0,0,1
33.8,0.875,12.7,0.672,-122.4698563,-114.9771347,0,0,0,1
39.1,7.725,28.6,0.843,-122.4698563,-114.9771347,0,0,0,1
